age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	target
74.0	4	91488.0	3	2.0	2	14	0	2	1	0.0	0.0	20.0	39	1
43.0	4	119297.0	11	9.0	2	8	0	4	1	0.0	0.0	40.0	39	1
31.0	4	124827.0	11	9.0	4	8	1	4	1	0.0	0.0	40.0	39	1
37.0	4	139770.0	11	9.0	4	1	1	4	0	0.0	0.0	35.0	39	1
51.0	4	162745.0	11	9.0	2	3	0	4	1	7298.0	0.0	50.0	39	0
24.0	4	62952.0	11	9.0	4	3	3	4	1	0.0	0.0	40.0	39	1
19.0	2	91571.0	15	10.0	4	1	3	4	0	0.0	0.0	25.0	39	1
23.0	4	275818.0	15	10.0	4	12	1	4	0	0.0	1974.0	40.0	39	1
35.0	4	180686.0	11	9.0	2	3	0	4	1	3137.0	0.0	40.0	39	1
17.0	4	270587.0	1	7.0	4	8	3	4	1	0.0	0.0	20.0	9	1
41.0	4	264663.0	15	10.0	5	10	3	4	0	0.0	3900.0	40.0	39	1
43.0	4	60001.0	9	13.0	0	12	4	4	1	0.0	0.0	44.0	39	0
56.0	4	117872.0	8	11.0	2	3	0	2	1	0.0	0.0	40.0	39	0
44.0	1	68729.0	9	13.0	2	4	0	1	1	0.0	0.0	40.0	39	0
23.0	4	95989.0	15	10.0	4	8	3	4	0	0.0	0.0	30.0	39	1
21.0	2	152200.0	15	10.0	2	11	3	2	1	0.0	0.0	40.0	39	1
30.0	4	159589.0	9	13.0	2	4	0	4	1	0.0	1848.0	50.0	39	0
24.0	4	127537.0	6	5.0	3	12	1	4	0	0.0	0.0	35.0	39	1
51.0	7	172022.0	12	14.0	4	10	1	4	1	0.0	0.0	40.0	39	0
31.0	4	261943.0	15	10.0	2	4	0	4	1	0.0	0.0	40.0	39	1
60.0	5	197553.0	15	10.0	2	4	0	4	1	7688.0	0.0	50.0	39	0
38.0	4	289653.0	8	11.0	6	7	1	4	1	0.0	0.0	40.0	39	1
31.0	4	114691.0	1	7.0	4	3	1	4	1	0.0	0.0	40.0	21	1
30.0	4	169104.0	7	12.0	4	8	2	1	1	0.0	0.0	40.0	40	1
21.0	4	145964.0	15	10.0	2	3	0	4	1	7298.0	0.0	60.0	39	0
54.0	4	155233.0	9	13.0	4	1	1	4	0	14084.0	0.0	40.0	39	0
41.0	4	50122.0	8	11.0	0	12	3	4	1	0.0	0.0	50.0	39	1
51.0	4	250423.0	9	13.0	2	4	0	4	1	0.0	0.0	50.0	39	0
56.0	4	125000.0	9	13.0	2	1	0	4	1	0.0	0.0	40.0	39	0
37.0	4	100316.0	9	13.0	2	4	0	4	1	0.0	0.0	50.0	39	0
56.0	6	115422.0	11	9.0	2	5	0	4	1	0.0	0.0	40.0	39	1
20.0	4	124751.0	15	10.0	4	9	3	4	0	0.0	0.0	20.0	39	1
33.0	4	221324.0	11	9.0	4	7	4	2	0	0.0	0.0	40.0	39	1
62.0	0	378239.0	12	14.0	2	0	0	4	1	0.0	0.0	2.0	39	0
42.0	4	572751.0	13	1.0	2	3	0	4	1	0.0	0.0	40.0	27	1
26.0	4	284078.0	15	10.0	4	1	1	4	1	0.0	0.0	40.0	39	1
67.0	0	101761.0	15	10.0	2	0	0	4	1	0.0	0.0	40.0	39	0
34.0	4	159303.0	12	14.0	4	10	3	4	0	0.0	0.0	30.0	39	1
57.0	4	163047.0	11	9.0	2	4	5	4	0	0.0	0.0	38.0	39	1
38.0	4	78247.0	15	10.0	2	4	0	4	1	0.0	0.0	40.0	39	1
61.0	6	185640.0	11	9.0	2	4	0	4	1	0.0	0.0	30.0	39	0
67.0	4	132586.0	11	9.0	6	8	1	4	0	0.0	0.0	15.0	39	1
46.0	0	37672.0	11	9.0	0	0	1	4	0	0.0	0.0	15.0	39	1
22.0	4	227943.0	15	10.0	4	11	3	4	1	0.0	0.0	40.0	39	1
66.0	0	182378.0	5	4.0	2	0	0	4	1	0.0	0.0	30.0	39	1
44.0	4	129100.0	1	7.0	5	8	4	2	0	0.0	0.0	60.0	39	1
18.0	4	210026.0	0	6.0	4	8	2	4	0	0.0	0.0	40.0	39	1
47.0	0	58440.0	8	11.0	2	0	0	4	1	0.0	0.0	45.0	39	1
68.0	4	351711.0	15	10.0	2	1	0	4	1	0.0	0.0	40.0	39	1
37.0	0	172256.0	15	10.0	2	0	0	4	1	0.0	0.0	20.0	39	1
46.0	4	36020.0	9	13.0	2	1	0	4	1	0.0	0.0	40.0	39	1
40.0	4	125461.0	8	11.0	4	10	1	4	1	0.0	0.0	42.0	39	1
37.0	4	186934.0	12	14.0	2	12	0	4	1	0.0	0.0	50.0	39	0
47.0	2	121124.0	12	14.0	2	10	0	4	1	0.0	0.0	35.0	39	0
47.0	4	359461.0	9	13.0	2	3	0	4	1	0.0	0.0	40.0	39	1
38.0	4	241153.0	12	14.0	2	4	0	4	1	0.0	0.0	48.0	39	0
27.0	4	132963.0	11	9.0	2	6	0	2	1	0.0	0.0	40.0	39	1
44.0	4	115932.0	7	12.0	2	10	0	4	1	0.0	0.0	40.0	39	1
43.0	4	220776.0	12	14.0	2	4	0	4	1	0.0	0.0	35.0	39	0
31.0	4	91964.0	15	10.0	4	1	2	4	1	0.0	0.0	40.0	39	1
63.0	4	298699.0	7	12.0	2	4	0	4	1	0.0	0.0	40.0	39	0
53.0	5	251240.0	9	13.0	2	4	0	4	1	0.0	2415.0	50.0	39	0
41.0	4	181020.0	11	9.0	0	6	4	4	0	0.0	0.0	40.0	39	1
39.0	4	78171.0	15	10.0	3	1	4	0	0	0.0	0.0	40.0	39	1
29.0	4	202878.0	11	9.0	4	3	1	4	1	0.0	0.0	50.0	39	1
18.0	4	298860.0	2	8.0	4	6	3	4	1	0.0	0.0	20.0	39	1
34.0	4	104293.0	7	12.0	4	13	4	4	0	0.0	0.0	40.0	39	1
46.0	1	55237.0	15	10.0	0	7	4	4	1	0.0	0.0	40.0	39	1
32.0	4	100154.0	6	5.0	2	8	0	4	1	0.0	0.0	40.0	8	1
58.0	6	121912.0	8	11.0	2	3	0	4	1	0.0	0.0	42.0	39	1
41.0	4	124692.0	15	10.0	2	4	3	4	1	0.0	0.0	40.0	39	0
33.0	4	267859.0	15	10.0	2	4	0	4	1	0.0	0.0	40.0	5	0
21.0	5	95997.0	15	10.0	4	5	3	4	1	0.0	0.0	60.0	39	1
24.0	4	247564.0	11	9.0	4	3	1	4	1	0.0	0.0	40.0	39	1
34.0	4	116371.0	11	9.0	0	8	1	4	0	0.0	0.0	38.0	39	1
70.0	0	88638.0	11	9.0	2	0	5	4	0	0.0	0.0	8.0	39	1
32.0	0	373231.0	15	10.0	4	0	4	2	0	0.0	0.0	40.0	39	1
35.0	4	192923.0	11	9.0	2	3	0	4	1	0.0	2377.0	40.0	39	1
25.0	4	120238.0	15	10.0	2	12	0	4	1	2885.0	0.0	43.0	39	1
37.0	4	217054.0	11	9.0	4	1	1	4	1	0.0	0.0	40.0	39	1
34.0	4	849857.0	11	9.0	2	3	0	4	1	0.0	0.0	40.0	27	1
61.0	4	316359.0	15	10.0	0	12	1	4	0	0.0	0.0	40.0	39	1
64.0	7	105748.0	11	9.0	2	5	0	4	1	0.0	0.0	40.0	39	1
33.0	7	291494.0	10	16.0	2	10	0	4	1	0.0	0.0	50.0	39	0
32.0	4	323055.0	11	9.0	2	3	0	4	1	0.0	0.0	40.0	39	1
45.0	4	310260.0	15	10.0	2	14	0	4	1	0.0	0.0	60.0	39	0
27.0	4	376150.0	15	10.0	3	12	1	4	0	0.0	0.0	25.0	39	1
21.0	4	137895.0	15	10.0	4	6	3	4	1	0.0	0.0	40.0	39	1
51.0	7	196504.0	11	9.0	0	3	4	4	1	0.0	0.0	38.0	39	1
39.0	4	174924.0	11	9.0	5	4	1	4	1	14344.0	0.0	40.0	39	0
46.0	5	256909.0	11	9.0	3	5	1	4	1	3325.0	0.0	45.0	39	1
29.0	4	146764.0	15	10.0	0	1	1	4	0	0.0	0.0	35.0	39	1
29.0	7	356089.0	9	13.0	2	4	0	4	1	7688.0	0.0	40.0	39	0
19.0	4	169758.0	15	10.0	4	12	3	4	1	0.0	0.0	35.0	39	1
22.0	7	194630.0	15	10.0	4	10	3	4	1	0.0	0.0	10.0	39	1
42.0	5	198282.0	9	13.0	2	4	0	4	1	0.0	0.0	60.0	39	0
29.0	4	277342.0	15	10.0	4	14	4	4	1	0.0	0.0	40.0	39	1
31.0	6	206609.0	0	6.0	4	14	1	4	1	0.0	2205.0	60.0	39	1
52.0	4	177366.0	11	9.0	5	8	2	4	0	0.0	0.0	20.0	39	1
26.0	4	389856.0	11	9.0	2	14	0	4	1	0.0	0.0	40.0	26	1
42.0	4	167948.0	10	16.0	2	10	0	1	1	0.0	0.0	40.0	35	0
42.0	4	195755.0	11	9.0	5	3	4	4	1	0.0	0.0	40.0	39	1
29.0	4	81057.0	15	10.0	4	1	3	4	0	0.0	0.0	40.0	39	1
49.0	4	199058.0	11	9.0	2	1	0	4	1	0.0	0.0	38.0	39	1
32.0	4	175052.0	11	9.0	0	1	4	4	0	0.0	0.0	40.0	39	1
20.0	0	43587.0	11	9.0	3	0	1	4	0	0.0	0.0	35.0	39	1
36.0	4	180278.0	9	13.0	4	10	1	2	1	0.0	0.0	40.0	39	1
57.0	4	106910.0	8	11.0	0	8	2	1	0	0.0	0.0	40.0	28	1
40.0	4	175642.0	9	13.0	4	10	1	4	0	0.0	0.0	60.0	39	0
35.0	4	175232.0	11	9.0	0	6	2	4	1	0.0	0.0	40.0	39	1
20.0	4	161092.0	15	10.0	4	6	3	4	1	0.0	0.0	40.0	39	1
56.0	4	357939.0	11	9.0	2	7	0	4	1	0.0	0.0	40.0	39	1
19.0	7	135162.0	15	10.0	4	1	3	4	0	0.0	0.0	10.0	39	1
73.0	4	153127.0	15	10.0	6	9	4	4	0	0.0	0.0	10.0	39	1
21.0	4	107960.0	15	10.0	4	14	3	1	1	0.0	0.0	20.0	3	1
40.0	4	171305.0	9	13.0	2	1	0	2	1	0.0	0.0	60.0	39	0
51.0	4	231919.0	1	7.0	2	3	0	4	1	0.0	0.0	45.0	39	1
33.0	4	31481.0	9	13.0	3	8	4	4	0	0.0	0.0	24.0	39	1
42.0	4	34278.0	15	10.0	2	12	0	4	1	0.0	0.0	50.0	39	0
42.0	4	102606.0	9	13.0	2	13	0	4	1	0.0	0.0	40.0	39	0
38.0	7	187119.0	12	14.0	0	4	1	4	0	0.0	0.0	50.0	39	0
62.0	4	171757.0	5	4.0	6	14	1	2	1	0.0	0.0	40.0	39	1
49.0	4	183013.0	11	9.0	2	5	0	4	1	0.0	0.0	40.0	39	1
47.0	4	76612.0	11	9.0	2	10	0	4	1	0.0	0.0	50.0	39	1
31.0	6	23500.0	11	9.0	2	3	0	4	1	0.0	0.0	75.0	39	1
27.0	4	193898.0	11	9.0	0	3	1	4	1	0.0	0.0	50.0	39	1
48.0	4	182566.0	9	13.0	2	12	0	2	1	0.0	0.0	40.0	39	0
51.0	4	137815.0	15	10.0	2	1	0	4	1	7298.0	0.0	40.0	39	0
50.0	4	195690.0	11	9.0	2	6	0	4	1	0.0	0.0	45.0	39	1
23.0	4	410439.0	11	9.0	4	1	3	4	1	0.0	0.0	25.0	39	1
21.0	4	133375.0	11	9.0	0	12	4	4	0	0.0	0.0	48.0	39	1
17.0	0	80077.0	1	7.0	4	0	3	4	0	0.0	0.0	20.0	39	1
19.0	4	219189.0	2	8.0	4	8	3	4	1	0.0	0.0	25.0	39	1
24.0	4	153078.0	9	13.0	4	13	1	1	1	0.0	0.0	40.0	39	1
46.0	4	164379.0	9	13.0	0	12	4	2	0	0.0	0.0	35.0	39	0
21.0	4	145119.0	15	10.0	4	8	3	1	1	0.0	0.0	20.0	39	1
21.0	4	231866.0	8	11.0	4	3	3	4	1	0.0	0.0	40.0	39	1
43.0	4	27766.0	9	13.0	5	4	4	4	1	0.0	0.0	60.0	39	0
32.0	4	220066.0	15	10.0	4	12	1	4	0	0.0	0.0	40.0	39	1
38.0	6	152621.0	9	13.0	2	5	0	4	1	0.0	0.0	99.0	39	1
23.0	7	279243.0	11	9.0	2	11	0	4	1	0.0	0.0	38.0	39	1
30.0	2	31171.0	15	10.0	4	3	1	4	1	0.0	1590.0	40.0	39	1
33.0	4	192644.0	10	16.0	2	10	0	4	1	0.0	1977.0	90.0	39	0
32.0	2	40444.0	12	14.0	4	10	1	4	1	0.0	0.0	50.0	39	1
24.0	4	104146.0	9	13.0	4	10	3	1	1	0.0	0.0	40.0	39	1
65.0	4	107620.0	1	7.0	6	1	1	4	0	0.0	0.0	8.0	39	1
39.0	4	117381.0	15	10.0	2	12	0	4	1	0.0	0.0	50.0	39	0
67.0	6	36876.0	11	9.0	2	5	0	4	1	0.0	0.0	55.0	39	1
49.0	6	105614.0	11	9.0	0	12	1	4	1	0.0	0.0	50.0	39	0
21.0	4	170456.0	15	10.0	4	8	3	4	1	0.0	0.0	35.0	22	1
21.0	4	434102.0	15	10.0	4	1	1	4	0	0.0	0.0	40.0	39	1
44.0	2	49665.0	8	11.0	0	7	4	0	1	0.0	0.0	40.0	39	1
52.0	2	238959.0	12	14.0	4	10	1	4	1	0.0	0.0	32.0	39	0
54.0	4	74660.0	9	13.0	0	10	4	4	1	0.0	0.0	40.0	2	0
46.0	4	175622.0	8	11.0	2	13	0	4	1	0.0	0.0	40.0	39	1
38.0	4	33975.0	9	13.0	2	13	0	4	1	0.0	0.0	45.0	39	1
25.0	4	264300.0	8	11.0	4	10	3	4	0	0.0	0.0	36.0	39	1
39.0	4	175232.0	15	10.0	2	10	0	4	1	0.0	0.0	50.0	39	1
32.0	4	265190.0	9	13.0	2	12	0	4	1	0.0	0.0	40.0	39	1
30.0	4	77266.0	11	9.0	2	3	0	4	1	0.0	0.0	60.0	39	1
28.0	0	78388.0	0	6.0	4	0	3	4	0	0.0	0.0	38.0	39	1
53.0	7	104501.0	10	16.0	2	10	0	4	1	0.0	0.0	40.0	0	0
21.0	4	262819.0	15	10.0	4	8	1	4	0	0.0	0.0	20.0	39	1
44.0	4	120277.0	14	15.0	2	10	0	4	1	99999.0	0.0	60.0	39	0
